NEGATIVE	 i just can give 1 star !
NEGATIVE	a crumby souveneir shop and an expensive cafe / restaurant, not worth the price and time .
NEGATIVE	a disappointment. 
NEGATIVE	A disaster, we were approached on main promenade in the afternoon with Tuk Tuk driver .
NEGATIVE	A horror story .
NEGATIVE	A really disappointing start to the holiday .
NEGATIVE	After 16 hours of travel , it was irritating to say the least .
NEGATIVE	After having trouble locating the pick up site , we were off .
NEGATIVE	Also be aware that there are a lot of refugee pick pockets in the area .
NEGATIVE	Also had a very limited English .
NEGATIVE	Also if you are late by 2mins , your tour guide may scold you for lateness as ours did !
NEGATIVE	Also one hour stop in a small town of Ston is too long as not much to do there .
NEGATIVE	As it was , we spent the next hour and twenty minutes in a car with an angry man who could not wait to get rid of us !
NEGATIVE	at just under å£18 per person for a return trip lasting approx no more than 3 minutes each way it is nothing short of daylight robbery .
NEGATIVE	Avoid it unless you are desperate for photos .
NEGATIVE	Be careful not to become trapped .
NEGATIVE	Being a 25 year old woman alone at the point of questioning and being ushered into a room was extremely intimidating and I was told to ‰ÛÏ ask the people on shore if they ‰Ûª ll give you some money back maybe ‰Û and that was all .
NEGATIVE	Bus took us to Old Town after 25 min wait where we were supposed to have 1.5hrs .
NEGATIVE	But 140 kuna is robbery .
NEGATIVE	But that was not really the cable car peoples fault .
NEGATIVE	By this time the second car had descended , however , another 10 minutes passed before the ticket office opened .
NEGATIVE	Cable car operators should take extreme interest in who they have selling their attraction .
NEGATIVE	Called med one day before departure to tell me that it costed 26 euros more .
NEGATIVE	Called the helpline to CONFIRM the price which was approved by customer services .
NEGATIVE	Called their office 3 times and they kept saying driver was on the way in 3 mins .
NEGATIVE	Can get as good a view from the highway .
NEGATIVE	Disappointing tour with guide Diego who seems to be very unqualified & lacking any tour guide skills .
NEGATIVE	Driving too fast and we did not feel safe .
NEGATIVE	Even there was heavy traffic on the road the driver declined to take the highway route ( it is probably cheaper this way ) and wasn ‰Ûª t really talkative .
NEGATIVE	Even though I did not use the service ( because they were late ) , you need to make sure to have a plan B in Montenegro .
NEGATIVE	Even though we started out at 9am , it was hot and stuffy in the cable car .
NEGATIVE	EVERY bus / transfer / etc is late and crossing the border can be very long .
NEGATIVE	Everything they confirmed in their emails were lies .
NEGATIVE	expensive and not worth the effort do the walls instead this is just a waste of time It is your standard tourist trap.
NEGATIVE	Expensive restaurant at the top .
NEGATIVE	Firstly they are more expensive .
NEGATIVE	Firstly told by Dino it would cost approx 200-250 Kuna ‰Ûª s although we thought this was a bit pricey he advised us that the meter would be on .
NEGATIVE	For a 4hr trip to Montenegro we spent 8hrs on the bus , not worth it .
NEGATIVE	For older people was a big issue with this since it was dark and there were a lot of steps / terrain .
NEGATIVE	Guide did not seem knowledgeable to share history .
POSITIVE	Had lunch in the panoramic restaurant service was great and lunch was lovely so relaxing !
POSITIVE	Half the joy is the journey getting to the cable car .
POSITIVE	Have a beer or glass of wine at the top and soak up the sunshine and beautiful views !
POSITIVE	Have a couple of coffee and dessert and enjoy the view slowly .
POSITIVE	Having bought a ticket we only had to wait approx 5 mins and in the height of tourist season is great .
POSITIVE	Having visited the walls last time and now the cable car , I would definitely recommend visiting the walls first then the cable car which gives a wider perspective and is even more stunning .
NEGATIVE	He even did not announce an itinerary & his very rare comments were inconsistent & sketchy .
NEGATIVE	He tried to be friendly the rest of the trip to old town , but honestly we had already had a bad experience .
